Highlight,Summary
"some jurisdictions do not allow limitations on how long an implied warranty lasts, so the above limitation may not apply to you.limitation on liability to the maximum extent permitted by law, in no event shall company or our suppliers be liable to you or any third-party for any lost profits, lost data, costs of procurement of substitute products, or any indirect, consequential, exemplary, incidental, special or punitive damages arising from or relating to these terms or your use of, or incapability to use the site even if company has been advised of the possibility of such damages.",There's a limit to how much Pure Dating would have to pay you if you had a legal problem with them because of these rules or using their site.
"(b) you shall not change, make derivative works of, disassemble, reverse compile or reverse engineer any part of the site.","You're not allowed to mess with the Pure Dating site, like trying to copy or change it."
these terms constitute the entire agreement between you and us regarding the use of the site.,Everything about your use of Pure Dating's site is covered by these rules.
the arbitrator shall issue a written award and statement of decision describing the essential findings and conclusions on which the award is based.,Whoever is handling the arbitration will give a written decision that says how they decided who gets what.
"the site may contain links to third-party websites and services, and/or display advertisements for third-parties.","Pure Dating's site might have links or ads from other places, but they don't necessarily say they're okay or checked them out."
"excluding any user content that you may provide, you are aware that all the intellectual property rights, including copyrights, patents, trademarks, and trade secrets, in the site and its content are owned by company or company s suppliers.","Pure Dating and its suppliers own all the official rights to everything on the site, and you know it."
"you approved that company will not be held liable to you or any third-party for any change, interruption, or termination of the site or any part","Pure Dating says it's not their fault if you're affected by any changes they make to their site, including stopping it."
"all such additional terms, guidelines, and rules are incorporated by reference into these terms","Some parts of the Pure Dating site come with extra rules, and they count as part of these big rules."
any claims or disputes where the total amount of the award sought is less than ten thousand u.s.,"If your problem with Pure Dating is about less than $10,000, you might sort it out without actually having to meet in arbitration."
"upon termination of your rights under these terms, your account and right to access and use the site will terminate immediately.","If you lose your rights to use Pure Dating's site, you'll lose access right away along with your account."
"notwithstanding the foregoing, claims of defamation, violation of the computer fraud and abuse act, and infringement or misappropriation of the other party s patent, copyright, trademark or trade secrets shall not be subject to this arbitration agreement","Some serious complaints, like stealing ideas or saying things that aren't true, aren't covered by the arbitration agreement and can go to court."
you understand that any termination of your account may involve deletion of your user content associated with your account from our live databases.,"If your account is closed on Pure Dating, they might get rid of all your stuff on the site."
"if the arbitrator grants you an award that is greater than the last settlement offer that the company made to you prior to the initiation of arbitration, the company will pay you the greater of the award or $2, .","If the arbitration person decides Pure Dating owes you more than they offered before the arbitration, they'll have to pay you the bigger amount."
all claims and disputes in connection with the terms or the use of any product or service provided by the company that cannot be resolved informally or in small claims court shall be resolved by binding arbitration on an individual basis under the terms of this arbitration agreement.,"If you can’t sort out a disagreement with Pure Dating in a simple way, you’ll have to go to arbitration and not in front of regular court."
"if any provision of these terms is held to be invalid or unenforceable, the other provisions of these terms will be unimpaired and the invalid or unenforceable provision will be deemed modified so that it is valid and enforceable to the maximum extent permitted by law.","If any part of these rules can't be enforced, the rest will still apply, and they'll try to change the unenforceable part to make it work."
"if there is a dispute between you and any site user, we are under no obligation to become involved","If you get into a fight with someone else using Pure Dating, Pure Dating doesn't have to help sort it out."
"the arbitration shall be conducted by a single, neutral arbitrator.","One single person, a neutral one, will handle the arbitration if there’s a dispute with Pure Dating."
you agree that company will have no obligation to provide you with any support in connection with the site,Pure Dating doesn't have to help you with anything to do with how you use their site.
"by logging into the site, you are being compliant that these terms and you represent that you have the authority and capacity to enter into these terms.","By logging into Pure Dating's site, you're saying you understand and agree to these rules and that you're allowed to agree to them."
the rules of the adr provider shall govern all aspects of the arbitration except to the extent such rules are in conflict with the terms.,The rules for the company that will handle any arbitration between you and Pure Dating could be different from Pure Dating's rules.
"arbitration shall be initiated through the american arbitration association, an established alternative dispute resolution provider that offers arbitration as set forth in this section.","If you want to arbitrate with Pure Dating, you start at an organization that's set up for that, and follow their rules as stated here."
for claims or disputes where the total amount of the award sought is ten thousand u.s.,"For claims or disputes where it’s $10,000 or more, you have the right to have a hearing to sort it out."
it contains procedures for mandatory binding arbitration and a class action waiver,"There are certain rules for arbitration that you need to know which can affect your rights, like not being able to go as a group to sue Pure Dating."
"if non-appearance based arbitration is elected, the arbitration shall be conducted by telephone, online and/or based solely on written submissions.","If both sides pick non-appearance based arbitration, everything will be done by phone, online, or on paper only."
the arbitrator shall have the authority to grant motions dispositive of all or part of any claim.,The arbitration person can decide completely if a part of the claim is valid.
company is located at the address in section .,Pure Dating is a business that has a specific address you can contact.
"if applicable law requires any warranties with respect to the site, all such warranties are limited in duration to ninety (90) days from the date of first use","If there are any promises about Pure Dating's site quality, they only last for 90 days from when you first use the site."
"unless otherwise agreed to, all arbitration proceedings shall be held in english.",The arbitration happens in English unless you and Pure Dating decide differently.
"if aaa is not available to arbitrate, the parties shall agree to select an alternative adr provider.","If that organization isn’t available, Pure Dating and you have to agree on another one to use."
"disclaimers the site is provided on an as-is and as available basis, and company and our suppliers expressly disclaim any and all warranties and conditions of any kind, whether express, implied, or statutory, including all warranties or conditions of merchantability, fitness for a particular purpose, title, quiet enjoyment, accuracy, or non-infringement.","Pure Dating says the site comes without any promises, so what you see is what you get."
"we may suspend or terminate your rights to use the site at any time for any reason at our sole discretion, including for any use of the site in violation of these terms.",Pure Dating can block your access any time for any reason without telling you why.
"we and our suppliers make not guarantee that the site will meet your requirements, will be available on an uninterrupted, timely, secure, or error-free basis, or will be accurate, reliable, free of viruses or other harmful code, complete, legal, or safe.","Pure Dating doesn’t promise the site will always work, be error-free, safe, or not have harmful things like viruses."
"if arbitration is initiated, the arbitrator will decide the rights and liabilities of you and the company, and the dispute will not be consolidated with any other matters or joined with any other cases or parties.","If there’s arbitration, it will be just about you and Pure Dating and won’t include anyone else's problems."
"all claims and disputes within the scope of this arbitration agreement must be arbitrated or litigated on an individual basis and not on a class basis, and claims of more than one customer or user cannot be arbitrated or litigated jointly or consolidated with those of any other customer or user.","Whenever there's a problem to be sorted out, it can’t be with a bunch of people together against Pure Dating; it has to be one-on-one."
the award of the arbitrator is final and binding upon you and the company,"Whatever the arbitration person says after sorting out the problem, you and Pure Dating must follow it."
"to the maximum extent permitted by law, notwithstanding anything to the contrary contained herein, our liability to you for any damages arising from or related to this agreement, will at all times be limited to a maximum of fifty u.s",Pure Dating won't have to pay you more than $50 even if you have a really big issue because of these rules or the site.
"if you or the company pursues arbitration, the arbitration action must be initiated and/or demanded within the statute of limitations and within any deadline imposed under the aaa rules for the pertinent claim.","If you're going to start an arbitration against Pure Dating, you have to do it within the set time limit by the right rules."
"512(c)) must be provided to our designated copyright agent: your physical or electronic signature identification of the copyrighted work(s) that you claim to have been infringed identification of the material on our services that you claim is infringing and that you request us to remove sufficient information to permit us to locate such material your address, telephone number, and e-mail address a statement that you have a good faith belief that use of the objectionable material is not authorized by the copyright owner, its agent, or under the law.","If you tell Pure Dating in a formal way that someone is using your copyrighted stuff on their site, Pure Dating will try to fix it, but you need to give them specific information."
the arbitrator has the same authority to award relief on an individual basis that a judge in a court of law would have.,"The arbitrator can do the same thing for you as a judge in court as long as it’s for you alone, not a group."
company may freely assign these terms.,Pure Dating can give these rules to someone else without asking you.
"even after your rights under these terms are terminated, the following provisions of these terms will remain in effect: sections 2 through , section 3 and sections 4 through 10.copyright policy.company respects the intellectual property of others and asks that users of our site do the same.","Some parts of these rules still apply even after you're done with Pure Dating, like the copyright rules and how to sort out fights."
any judgment on the award rendered by the arbitrator may be entered in any court of competent jurisdiction.,Any court that's okay with it can enforce the arbitrator's decision if there's a fight with Pure Dating.
