Highlight,Summary
"if we act on a report of abuse, we also provide a fair process as described in the taking action in case of problems section.permission to use your contentsome of our services are designed to let you upload, submit, store, send, receive, or share your content.","Google's services may let you share your content, but if it's believed to break the rules or harm someone, Google has the right to remove it."
"for example, we suspend or close the google accounts of repeat copyright infringers as described in our copyright help center",Repeat violators of copyright law may have their Google account suspended or closed.
"see the permission to use your content section for more about your rights in your content, and how your content is used in our services see the removing your content section to learn why and how we might remove user-generated content from our services if you think someone is infringing your intellectual property rights, you can send us notice of the infringement and we ll take appropriate action.","If you think someone is infringing your intellectual property rights, you can report it to Google for proper action."
"when we speak of google, we, us, and our, we mean google ireland limited and its affiliates.what you can expect from usprovide a broad range of useful serviceswe provide a broad range of services that are subject to these terms, including: apps and sites (like search and maps) platforms (like google play) integrated services (like maps embedded in other companies apps or sites) devices (like google home) our services are designed to work together, making it easier for you to move from one activity to the next.",Google offers a wide range of services that are designed to work together and improve your whole experience across Google's services.
"you re responsible for what you do with your google account, including taking reasonable steps to keep your google account secure, and we encourage you to regularly use the security checkup.",You're responsible for keeping your Google account secure and for your actions while using it.
that administrator might require you to follow additional rules and may be able to access or disable your google account,"If you use Google services through an organization, the organization's rules and the access they have to your account will apply to you as well."
"what we expect from youfollow these terms and service-specific additional termsthe permission we give you to use our services continues as long as you meet your responsibilities in: these terms service-specific additional terms, which could, for example, include things like additional age requirements we also make various policies, help centers, and other resources available to you to answer common questions and to set expectations about using our services.",You must adhere to Google's terms and any service-specific terms to continue using their services.
"if you do stop using a service, we d appreciate knowing why so that we can continue improving our services.","Google appreciates feedback if you choose to stop using a service, as it helps improve them."
"google won t be responsible for the following liabilities: loss of profits, revenues, business opportunities, goodwill, or anticipated savings indirect or consequential loss punitive damages google s total liability arising out of or relating to these terms is limited to the greater of (1) 500 or (2) 125% of the fees that you paid to use the relevant services in the 12 months before the breach if you re legally exempt from certain responsibilities, including indemnification, then those responsibilities don t apply to you under these terms.","Google is not responsible for lost profits or unanticipated damages, and their total liability for any issues with the services is capped at a specific amount."
"we give you permission to use that software as part of the services.the license we give you is: worldwide, which means it s valid anywhere in the world non-exclusive, which means that we can license the software to others royalty-free, which means there are no fees for this license personal, which means it doesn t extend to anyone else non-assignable, which means you re not allowed to assign the license to anyone else some of our services include software that s offered under open source license terms that we make available to you.","Software provided by Google's services is for your personal use and updates automatically, usually under a worldwide and royalty-free license."
"if you want to use our branding or logos, please see the google brand permissions page.other content finally, some of our services give you access to content that belongs to other people or organizations for example, a store owner s description of their own business, or a newspaper article displayed in google news.",You may have access to content owned by others in Google's services—be sure to respect their rights and not use it without permission.
"this includes using automated systems and algorithms to analyze your content: for spam, malware, and illegal content to recognize patterns in data, such as determining when to suggest a new album in google photos to keep related photos together to customize our services for you, such as providing recommendations and personalized search results, content, and ads (which you can change or turn off in ads settings) this analysis occurs as the content is sent, received, and when it is stored","Google uses automated systems to analyze your content for various purposes, like security and personalizing services, even after the content is stored."
"as a result, these terms of service help define google s relationship with you as you interact with our services.","Google's relationship with you is outlined by these terms, which apply when you interact with their services."
"suspending or terminating your access to google services google reserves the right to suspend or terminate your access to the services or delete your google account if any of these things happen: you materially or repeatedly breach these terms, service-specific additional terms or policies we re required to do so to comply with a legal requirement or a court order we reasonably believe that your conduct causes harm or liability to a user, third party, or google for example, by hacking, phishing, harassing, spamming, misleading others, or scraping content that doesn t belong to you if you believe your google account has been suspended or terminated in error, you can appeal","Google can suspend or terminate your access to their services if you seriously or repeatedly violate the terms or policies, or if required by law."
"of course, you re always free to stop using our services at any time.",You can discontinue using Google services whenever you want.
"if you don t follow these terms or the service-specific additional terms, and we don t take action right away, that doesn t mean we re giving up any rights that we may have, such as taking action in the future","If you violate the terms of service but Google doesn't immediately take action, it does not mean you are exempt from the rules or consequences later."
"other than the rights and responsibilities described in this section (in case of problems or disagreements), google won t be responsible for any other losses, unless they re caused by our breach of these terms or service-specific additional terms",Google's responsibility for certain types of losses is limited unless they directly violated these terms or service-specific terms.
"these resources include our privacy policy, copyright help center, safety center, and other pages accessible from our policies site",Google provides various resources like privacy policy and safety center which are part of their service to you.
"if we materially change these terms or service-specific additional terms, we ll provide you with reasonable advance notice and the opportunity to review the changes, except (1) when we launch a new service or feature, or (2) in urgent situations, such as preventing ongoing abuse or responding to legal requirements.","Significant changes to the terms or services will be communicated with advance notice, unless urgent."
handling requests for your datarespect for the privacy and security of your data underpins our approach to responding to data disclosure requests.,Google takes privacy and security seriously when it comes to responding to requests about your data.
"disclaimersthe only commitments we make about our services (including the content in the services, the specific functions of our services, or their reliability, availability, or ability to meet your needs) are (1) described in the warranty section, (2) stated in the service-specific additional terms, or (3) provided under applicable laws.","Google explicitly states the commitments they make about their services, which are included in the warranty section and specified additional terms or required by law."
