Highlight,Summary
"refund policy and cancellation instructions where you elect to purchase premium services, we will bill you for the services in advance","If you buy premium services, FileFactory takes payment upfront."
"you acknowledge that we may establish general practices and limits concerning use of the service, including the maximum disk space that will be allotted on filefactory.coms servers on your behalf, and the maximum number of times (and the maximum duration for which) you may access the service in a given period of time.","There are limits to how much you can use the service, like disk space and access times."
"other activities whether lawful or unlawful, filefactory.com reserves the right to determine what is harmful to its customers, operations or reputation, including any activities that restrict or inhibit any other user from using and enjoying the service or the internet",FileFactory can decide what's harmful and not allow it.
"customer hereby represents and warrants that it is duly licensed to do business and is in good legal standing in the jurisdictions in which it does business (during the term of this agreement), that it is not a competitor of filefactory.com, and that the person agreeing to this agreement for customer is at least eighteen years of age and otherwise capable of and authorised to enter binding contracts for customer",You promise that you're allowed to do business and are not a competitor pretending to be a customer.
(d) any material downloaded or otherwise obtained through the use of the service is done at your own discretion and risk and that you will be solely responsible for any damage to your computer system or loss of data that results from the download of any such material.,Downloading anything is at your own risk; FileFactory isn't responsible for any damage or data loss.
"this arbitration provision will apply to all disputes between us relating to the services provided to you and alleged infringement of your copyrights or other intellectual property on or through the site, and will survive termination of our relationship and this agreement.",Arbitration for disputes about provided services and copyright infringement will continue even after the agreement ends.
"further, you acknowledge that filefactory.com may change subscription fees at any time without notice.",Prices for subscriptions may change without notice.
filefactory.com will delete customer data upon termination of this agreement.,"When the agreement ends, FileFactory will delete your data."
"(b) filefactory.com makes no warranty that (i) the service will meet your requirements, (ii) the service will be uninterrupted, timely, secure, or error-free, (iii) the results that may be obtained from the use of the service will be accurate or reliable, (iv) the quality of any products, services, information, or other material purchased or obtained by you through the service will meet your expectations , and (v) any errors in the software will be corrected.",No warranty is made that the service will meet all your needs or be bug-free.
"further, should customer violate this policy, filefactory.com will actively assist and cooperate with law enforcement agencies and government authorities in collecting and tendering information about customer, customers site, the illegal or obscene content, and those persons that may have inappropriately accessed, acquired, or used the illegal or obscene content","If you break laws, FileFactory will help law enforcement against you."
"examples of system violations include, without limitation: (a) unauthorised access to or use of filefactory.com services, including any attempt to probe, scan or test the vulnerability of a system or to breach security or authentication measures without express authorisation of filefactory.com.",Accessing FileFactory without permission is illegal.
"you expressly understand and agree that filefactory.com shall not be liable for any direct, indirect, incidental, special, consequential exemplary damages, including but not limited to, damages for loss of profits, goodwill, use, data or other intangible losses (even if we have been advised of the possibility of such damages), resulting from: (i) the use or the inability to use the service.",FileFactory isn't liable for many types of damages or loss that could come from using their service.
"filefactory.com confidential information you represent and warrant to filefactory.com that (a) you are not a competitor of filefactory.com, (b) you shall keep publicly unannounced information and materials pertaining to filefactory.com, pre-release software, testing or testing procedures strictly confidential and (c) you shall not use any information gained from access to the filefactory.com web site or use of the filefactory.com services to compete with filefactory.com in its business",Keep FileFactory's confidential information a secret and don't use it to compete.
you should carefully read the following terms of service agreement before using the filefactory.com website (site) and our services (services).this is a legally binding agreement.,"By using the site, you accept all these legal terms."
filefactory.com services are provided on an as is and as available basis.,"FileFactory's services are offered as-is, with no guarantees."
no action by customer arising under this agreement may be brought at any time more than twelve (12) months after the facts occurred upon which the cause of action arose,You can't bring up an issue more than 12 months after it happened.
"binding arbitration of fee and other disputes if any controversy or dispute arising from or relating to this agreement, your use of the site, the services provided to you by company, or any other matter related to the relationship between you and the company, even if arising after termination of this agreement, cannot be resolved through mutual agreement, the sole means of resolving the controversy will be binding arbitration under the auspices of the belize arbitration act.",Arbitration in Belize is how you'll settle disputes about the service.
changes in subscription fees will take effect on expiration of any existing customer subscription,Subscription fee changes happen after your current subscription ends.
"conditions, or any other rules or policies, your sole remedy is to discontinue use of the service.","If you don't like the service or the rules, your only option is to stop using it."
filefactory.coms failure to act with respect to a breach by customer or others does not waive filefactory.coms right to act with respect to subsequent or similar breaches.,Not acting on a breach once doesn't mean FileFactory can't act on similar breaches in the future.
"responsibility for access customer is solely responsible and liable for any and all access to and use of the services (including all activities and transactions) by any authorised user and/or user id registered under customers account, unless such access to or use of the services is the direct result solely of the gross negligence of filefactory.com.",You're responsible for all activity under your account unless FileFactory was negligent.
or (b) customer becomes aware of any unauthorised use of any product or service related to its account(s),Alert FileFactory if you see unauthorized use of your account.
customer agrees to maintain its data in compliance with its legal obligations.,Keep your data within legal standards.
"customer agrees to maintain and update this information to ensure that it is true, accurate, current and complete.",You must keep your contact info updated.
"and that the arbitration decision will be final and binding, except to the limited extent that law provides for judicial review of arbitration proceedings and decisions",The arbitration decision is final.
"we also reserve the right at any time to modify or discontinue the service, temporarily or permanently, with or without notice to you.",The service can change or stop at any time.
"by using the site or any services provided in connection with the site, you agree to abide by these terms of use, as they may be amended by filefactory cloud storage llc from time to time in its sole discretion and without specific notice to you.","By using the site, you agree to follow these terms."
"modifications to agreements, policies or to our services we reserve the right to change this service agreement at any time without notice.","These terms can change whenever, without notice."
notice to owners of copyrighted works the dmca provides a legal procedure by which you can request any online service provider to disable access to a website where your copyrighted work(s) are appearing without your permission.,There's a legal process to request removal of your copyrighted work from the site.
"this agreement constitutes the entire and only agreement between us and you, and supersedes all prior or contemporaneous agreements, representations, warranties and understandings with respect to the site, the content, products or services provided by or through the site, and the subject matter of this agreement","This agreement is the full deal between you and FileFactory, nothing else counts."
"if you sign up for a filefactory 30 day recurring service, your subscription continues to bill monthly until you cancel it.","If you have a monthly subscription, it will auto-renew until you cancel."
"relationship customer and filefactory.com are independent contractors, and no agency, partnership, joint venture, employee-employer or franchiser-franchisee relationship is intended or created by this agreement",You and FileFactory are separate entities; this agreement doesn't create any partnership.
these terms and conditions are governed by and construed in accordance with the laws of belize.,Laws of Belize govern the terms.
"indemnity you agree to defend, indemnify, and hold harmless filefactory.com, its affiliates, officers, directors, employees and agents, from and against any claims, actions or demands, including without limitation reasonable legal fees, alleging or resulting from your use of the service, or your breach of this agreement or other filefactory.com policies, terms and conditions","If legal issues arise from your use of the service, you have to defend FileFactory."
filefactory.com may keep records about customer data in accordance with its privacy policy.,FileFactory might keep some data about you following their privacy policy.
"termination without limiting other remedies, filefactory.com may immediately issue a warning, suspend (i.e., lock out access and operation of services for customer) either temporarily or indefinitely, or terminate customers account and refuse to provide services to customer if: (a) filefactory.com believes that customer has violated or acted inconsistently with this agreement, or any of our policies.",FileFactory can immediately block or end your account if you break this agreement.
filefactory.com reserves the right to change or discontinue any of the services at any time,Services can change or stop without warning.
"filefactory.com services subject to the terms and conditions of this agreement, filefactory.com makes certain services available to customer.",You agree to the specific terms and conditions when you use FileFactory services.
or (v) any other matter relating to the service,FileFactory isn't liable for many things that could go wrong with the service.
